Batch,Bloom,Viscosidad,Claridad,AverageProduction,Yield,D03_amn_carnaza,D03_vap_press,D03_carnaza,D03_cuero,D03_orillo,D03_patica,D03_vaqueta,D04_ph_initial_liq,D04_clarity_initial_liq,D04_total_residue,D04_extract_duration,D05_peroxido_hid,D05_dioxido_azufre,D05_NTU_L1,D05_NTU_L3,D05_NTU_FP1,D05_NTU_FP2,D05_NTU_FP4,D06_phT,D06_phUF2,D09_T_condensing,D09_T_leg,D09_T_liquor,D09_Conc_liquor,D09_Tri_FrecA,D09_Tri_FrecB,D09_Tri_FrecD,D10_T_esteril,D10_T_out_gelatin,D10_T_out_water,D10_P_vaccum,D11_Ts_ref,D11_Td_ref,D12_P_Exch_Water,D12_Kath_Lvl,D12_P_atom_cond,D12_P_atom_regn,D12_P_filt,D12_P_cond,D12_P_regen,D12_TA,D12_TB,D12_TD,D14_vpA,D14_vpB,D14_vpD,D14_T2A,D14_T2B,D14_T2D,D14_T3A,D14_T3B,D14_3D,D14_T4A,D14_T4B,D14_T4D,D14_T5A,D14_T5B,D14_T5D,D14_T6A,D14_T6B,D14_T6D,D14_T7A,D14_T7B,D14_T7D
18-068,276.9,40.8,45.1,,13.79,41.03703703703704,48.888888888888886,1.0,1.0,1.0,1.0,0.0,3.02,24.0,43.0,20.83333333333333,62.0,5.111111111111111,98.6,83.22222222222223,49.125,47.625,30.125,8.225999999999999,6.231,61.14,61.29,43.43,26.33,19.07,19.29,24.0,142.0,51.938888888888904,48.88888888888889,19.222222222222218,20.459055493495555,89.49671670026008,3.0,10.86,4.540000000000001,0.2,0.22600000000000003,1.8399999999999999,1.38,40.019999999999996,39.800000000000004,50.940000000000005,37.0,36.0,33.2,48.2,47.6,40.8,50.2,49.6,45.0,55.6,54.8,50.2,59.6,57.6,54.0,64.8,65.4,59.8,70.8,70.2,65.2
18-069,267.7,41.4,58.5,,13.61,40.88,49.6,1.0,0.0,1.0,1.0,0.0,2.95,20.0,39.5,0.5,49.33333333333334,19.08333333333333,119.45454545454544,55.6,64.0,68.2,34.6,7.9590000000000005,6.483,61.0,61.75,44.5,26.58,20.0,20.0,23.5,142.0,51.67894736842104,49.842105263157904,19.13157894736842,20.0,89.4967171307717,3.4,11.42,4.56,0.2,0.242,1.5399999999999998,1.3599999999999999,40.0,39.78,50.8,37.0,40.0,31.5,47.75,49.0,41.75,50.0,50.5,45.75,55.25,54.5,51.0,59.0,58.5,56.25,64.5,64.5,61.25,71.25,72.75,65.5
18-070,264.1,39.2,55.7,,13.59,44.08,49.6,1.0,1.0,1.0,1.0,0.0,2.76,16.0,50.0,0.9166666666666666,74.26666666666667,24.4,104.91666666666669,79.27272727272727,42.77777777777778,43.444444444444436,37.54545454545455,7.91111111111111,6.187777777777779,62.6,63.0,47.4,26.02,19.3,19.3,24.0,142.0,51.61428571428571,49.114285714285714,19.214285714285715,20.44702118416751,89.49671711845077,2.75,11.525,4.6,0.2,0.245,1.8749999999999998,1.325,40.025,40.05,50.525,36.5,35.5,35.0,48.25,48.75,43.0,49.75,50.5,47.5,55.0,55.5,55.0,59.0,57.25,59.75,64.5,64.5,64.5,70.75,71.0,65.0
18-071,253.1,36.7,59.6,,13.65,43.25925925925926,51.851851851851855,1.0,1.0,1.0,1.0,0.0,2.86,16.0,39.5,2.333333333333333,54.714285714285715,16.928571428571427,127.23076923076924,89.33333333333331,55.0,64.0,45.88888888888889,7.696666666666665,6.5225,58.0,58.14,41.43,26.43,10.36,19.14,22.86,142.0,50.60434782608696,47.47826086956522,19.23913043478261,19.940590433160878,89.49671434140508,5.0,11.685714285714285,4.542857142857144,0.19999999999999998,0.25,1.3585714285714285,1.2714285714285711,40.22857142857142,39.800000000000004,50.57142857142858,37.666666666666664,33.666666666666664,35.666666666666664,48.5,47.333333333333336,42.666666666666664,50.666666666666664,49.666666666666664,48.833333333333336,55.166666666666664,54.666666666666664,55.5,61.0,58.0,58.833333333333336,65.33333333333333,63.666666666666664,64.5,71.33333333333333,69.66666666666667,65.83333333333333
18-072,286.3,40.5,51.6,,13.7,44.333333333333336,51.851851851851855,1.0,1.0,1.0,1.0,0.0,2.8,19.0,65.5,0.0,69.0,19.5,106.3,60.72727272727273,24.2,51.1,36.444444444444436,8.149,6.279,59.25,59.75,41.5,25.92,19.5,19.5,24.0,142.0,48.65217391304348,44.8695652173913,19.608695652173914,19.0,89.49671691247477,4.833333333333333,11.483333333333334,4.5,0.19999999999999998,0.25333333333333335,1.8333333333333333,1.3166666666666667,39.5,38.71666666666667,50.599999999999994,38.333333333333336,38.0,35.5,46.833333333333336,48.0,41.666666666666664,50.166666666666664,51.666666666666664,47.0,54.666666666666664,54.666666666666664,53.0,59.0,60.333333333333336,59.833333333333336,64.33333333333333,64.0,63.0,70.66666666666667,70.5,66.5
18-073,264.5,44.1,61.1,,13.78,44.0,51.92307692307692,1.0,0.0,1.0,1.0,0.0,3.03,15.0,46.0,22.83333333333333,59.25,17.076923076923073,117.33333333333331,135.45454545454547,60.125,55.125,50.125,7.439000000000002,6.545000000000002,59.83,59.67,43.17,26.3,19.33,19.33,7.67,142.0,49.50454545454546,47.18181818181818,19.545454545454547,19.96156240960164,89.4967155678919,4.8,11.3,4.56,0.2,0.254,1.86,1.26,39.4,39.260000000000005,50.26,38.0,31.8,36.6,46.2,46.0,43.0,50.0,49.0,47.6,55.0,54.0,54.8,58.2,55.6,59.6,64.8,64.4,64.4,70.6,71.0,66.8
18-074,262.0,40.6,66.0,,13.83,44.0,51.92307692307692,1.0,0.0,1.0,1.0,0.0,2.9,45.0,17.0,0.0,66.53846153846153,13.384615384615385,152.7,147.0,63.444444444444436,64.42857142857143,60.714285714285715,7.386666666666667,6.7275,57.67,58.0,43.17,26.83,17.25,17.25,21.5,142.0,49.452173913043474,45.39130434782609,19.391304347826086,19.92398092373349,89.49671436482642,4.0,11.7,4.525,0.2,0.25,1.8499999999999999,1.2249999999999999,39.824999999999996,39.55,50.7,38.4,40.0,35.0,47.0,47.6,43.2,50.0,48.6,47.8,55.0,55.2,55.4,59.8,57.0,57.4,62.8,65.2,64.8,70.8,70.4,66.8
18-075,272.0,38.8,66.0,,13.88,43.61538461538461,51.92307692307692,1.0,0.0,1.0,1.0,0.0,2.7,27.0,22.5,22.66666666666667,58.5,18.5,147.9090909090909,78.77777777777777,71.1111111111111,63.0,40.125,6.630000000000001,6.556666666666667,61.4,62.0,42.4,26.32,18.9,19.2,23.6,141.9047619047619,49.37619047619047,45.42857142857143,19.952380952380953,19.956276612268766,89.49671686892863,4.6,11.620000000000001,4.5200000000000005,0.2,0.23199999999999998,1.8599999999999999,1.32,39.86,39.54,50.55999999999999,37.75,36.25,35.5,47.25,50.25,43.0,50.25,51.75,47.0,55.0,56.0,54.75,59.5,58.75,58.5,64.75,64.75,64.75,69.75,72.25,66.75
18-076,281.0,45.3,54.0,,13.92,42.72,52.0,1.0,0.0,1.0,1.0,0.0,3.25,51.0,23.5,22.0,61.25,22.16666666666667,147.55555555555554,138.72727272727272,71.8888888888889,64.25,58.0,7.810000000000001,6.798181818181818,60.8,50.0,43.0,26.52,18.4,18.4,23.6,142.0,50.59545454545455,46.31818181818182,19.65909090909091,19.949244729345594,89.49671684995701,4.8,12.16,4.54,0.2,0.2,1.86,1.2399999999999998,39.72,39.4,50.94,37.6,42.0,32.0,47.2,51.0,43.0,49.8,52.0,47.2,56.0,56.2,55.2,60.2,60.0,59.2,64.6,65.6,64.8,70.6,72.0,66.6
18-077,285.0,43.6,45.0,,13.95,42.96,52.0,1.0,1.0,1.0,1.0,0.0,3.24,36.0,32.5,0.4166666666666667,42.72727272727273,15.363636363636365,127.0909090909091,51.2,51.4,52.5,32.6,7.579090909090908,6.5609090909090915,59.2,60.2,42.0,26.38,20.0,20.0,24.0,142.0,49.72173913043479,45.73913043478261,19.565217391304348,19.94077959949664,89.49671683215773,5.0,11.48,4.5200000000000005,0.22000000000000003,0.2,1.86,1.3,40.14,39.739999999999995,51.04,38.0,29.0,35.4,46.6,48.4,42.6,50.2,49.4,47.2,55.0,55.6,55.0,58.4,57.0,59.8,64.6,65.6,64.6,69.6,70.4,67.0
